"listing_id","neighbourhood","room_type","listing_price","avg_price","price_difference_percent","price_status"
"589357344941422699","Albion","Entire home/apt","900","311.8461538461538462","188.6038480513073500","Overpriced"
"53961657","Albion","Entire home/apt","509","311.8461538461538462","63.22150962012826835300","Overpriced"
"755592175180614203","Albion","Entire home/apt","500","311.8461538461538462","60.33547113961519484600","Overpriced"
"582222627234022997","Albion","Entire home/apt","450","311.8461538461538462","44.30192402565367536100","Overpriced"
"1157702139324589673","Albion","Private room","95","72.1000000000000000","31.76144244105409154000","Overpriced"
"883596940873512164","Albion","Private room","95","72.1000000000000000","31.76144244105409154000","Overpriced"
"45257656","Albion","Private room","89","72.1000000000000000","23.43966712898751733700","Overpriced"
"6889111","Albion","Private room","71","72.1000000000000000","-1.52565880721220527000","Fairly Priced"
"896024585035135399","Albion","Private room","71","72.1000000000000000","-1.52565880721220527000","Fairly Priced"
"936451831818374151","Albion","Private room","71","72.1000000000000000","-1.52565880721220527000","Fairly Priced"
"845865100697797255","Albion","Private room","61","72.1000000000000000","-15.39528432732316227500","Fairly Priced"
"1077770566915155633","Albion","Private room","61","72.1000000000000000","-15.39528432732316227500","Fairly Priced"
"839547242671246862","Albion","Entire home/apt","260","311.8461538461538462","-16.62555500740009868000","Fairly Priced"
"10795399","Albion","Private room","56","72.1000000000000000","-22.33009708737864077700","Underpriced"
"51472419","Albion","Entire home/apt","223","311.8461538461538462","-28.49037987173162309900","Underpriced"
"935313775044137603","Albion","Private room","51","72.1000000000000000","-29.26490984743411927900","Underpriced"
"814694986991543848","Albion","Entire home/apt","206","311.8461538461538462","-33.94178589047853972400","Underpriced"
"1077027073382711419","Albion","Entire home/apt","206","311.8461538461538462","-33.94178589047853972400","Underpriced"
"1170157100365444048","Albion","Entire home/apt","200","311.8461538461538462","-35.86581154415392206200","Underpriced"
"1009610667449767839","Albion","Entire home/apt","182","311.8461538461538462","-41.63788850518006907600","Underpriced"
"1040174905157135774","Albion","Entire home/apt","148","311.8461538461538462","-52.54070054267390232600","Underpriced"
"943899807080153027","Albion","Entire home/apt","144","311.8461538461538462","-53.82338431179082388400","Underpriced"
"24092188","Albion","Entire home/apt","126","311.8461538461538462","-59.59546127281697089900","Underpriced"
"1154747627815560882","Alderley","Private room","160","118.0000000000000000","35.59322033898305084700","Overpriced"
"1156673482350411656","Alderley","Entire home/apt","216","188.0000000000000000","14.89361702127659574500","Fairly Priced"
"578698026071367327","Alderley","Entire home/apt","174","188.0000000000000000","-7.44680851063829787200","Fairly Priced"
"46160447","Alderley","Entire home/apt","174","188.0000000000000000","-7.44680851063829787200","Fairly Priced"
"11262892","Alderley","Private room","76","118.0000000000000000","-35.59322033898305084700","Underpriced"
"959029801762251695","Algester","Private room","110","76.7500000000000000","43.32247557003257329000","Overpriced"
"741626032709834762","Algester","Entire home/apt","203","152.5000000000000000","33.11475409836065573800","Overpriced"
"1162856638126594927","Algester","Entire home/apt","196","152.5000000000000000","28.52459016393442623000","Overpriced"
"598853267033130865","Algester","Entire home/apt","169","152.5000000000000000","10.81967213114754098400","Fairly Priced"
"970513720525979774","Algester","Private room","79","76.7500000000000000","2.93159609120521172600","Fairly Priced"
"53381046","Algester","Entire home/apt","134","152.5000000000000000","-12.13114754098360655700","Fairly Priced"
"6430368","Algester","Entire home/apt","121","152.5000000000000000","-20.65573770491803278700","Underpriced"
"22740637","Algester","Private room","59","76.7500000000000000","-23.12703583061889250800","Underpriced"
"655374296352471146","Algester","Private room","59","76.7500000000000000","-23.12703583061889250800","Underpriced"
"1054066294400679407","Algester","Entire home/apt","92","152.5000000000000000","-39.67213114754098360700","Underpriced"
"4307428","Annerley","Entire home/apt","950","255.6666666666666667","271.5775749674054800","Overpriced"
"43089749","Annerley","Private room","212","94.3461538461538462","124.7044435385242600","Overpriced"
"696103220124403521","Annerley","Entire home/apt","536","255.6666666666666667","109.6479791395045600","Overpriced"
"43089752","Annerley","Private room","196","94.3461538461538462","107.7456176110884600","Overpriced"
"43055638","Annerley","Private room","179","94.3461538461538462","89.72686506318793305000","Overpriced"
"958550827982361957","Annerley","Entire home/apt","460","255.6666666666666667","79.92177314211212514000","Overpriced"
"9653665","Annerley","Private room","128","94.3461538461538462","35.67060741948634318700","Overpriced"
